entity,year,emissions_kg,emissions_1000kcal,emissions_100g_protein,emissions_100g_fat,land_use_kg,land_use_1000kcal,Land use per 100 grams of protein,Land use per 100 grams of fat,Bananas index (kg),Bananas index (1000 kcalories),Bananas index (100g protein),Chart?,type,Banana values,
Lamb burgers,2022,26.9282887,10.8153507,15.7734197,14.4787535,38.0973729,15.3025,22.3169336,20.4932018,30.83334512,12.34907381,2.042694653,TRUE,2,,
Lamb chops,2022,30.9019929,11.8281677,17.188501,14.5354455,43.66,16.7112495,24.2846512,20.5361319,35.3833035,13.50551822,2.225950983,TRUE,2,,
Lemons,2022,0.47015286,1.10169145,4.81357247,18.5992749,0.61137515,1.48095007,6.25515129,24.007351,0.538332961,1.257922134,0.623368866,TRUE,1,,
Lentils,2022,2.53652022,1.96340232,2.03874469,20.2974396,27.4748606,20.5351906,20.900057,218.492031,2.904358469,2.24183208,0.264022194,TRUE,1,,
Lettuce,2022,4.92602313,25.3242991,39.9496264,64.4239528,6.78133448,34.6815601,54.3309359,87.0189485,5.640379636,28.9155338,5.173569827,TRUE,1,,
Limes,2022,0.46300786,1.42099437,5.02016852,18.8615486,0.62618714,1.9984803,6.82054427,25.4421053,0.530151815,1.622505348,0.650123536,TRUE,1,,
Macaroni cheese,2022,16.8493131,5.24521857,9.36186574,7.74261644,20.6869351,6.5974635,12.1329124,10.1026679,19.29274792,5.989042154,1.212383456,TRUE,3,,
Mackerel,2022,13.6063845,6.25030122,7.13369129,11.2903809,5.80154946,2.61700096,3.05494812,4.66726729,15.57953993,7.136655409,0.923829666,TRUE,2,,
Marmalade,2022,1.54892127,0.76316423,50.1588207,75.6826356,1.73009918,0.75767156,54.9826527,83.3149842,1.773541,0.871388424,6.495684309,TRUE,1,,
Meat-free burger,2022,1.01832947,0.54485943,1.55039342,1.22684134,3.79721614,2.05236716,4.94473224,4.58902658,1.166004433,0.622125856,0.200779565,TRUE,1,,
Meat-free mince,2022,0.87703762,0.7545435,0.66674761,13.7481151,5.80255908,4.74376878,3.52896376,105.718577,1.00422288,0.86154519,0.086345371,TRUE,1,,
Meat-free sausages,2022,0.96255767,0.69861492,1.15129095,1.91670683,3.72054469,2.50864134,3.58008158,7.04726547,1.10214478,0.797685387,0.149094864,TRUE,1,,
Melon,2022,1.05653597,2.57241323,14.7714069,31.1246243,0.98746434,2.33220835,13.4729242,26.5587085,1.20975152,2.937206728,1.912931658,TRUE,1,,
Milk chocolate,2022,10.8002748,2.21099909,15.1076842,4.80832911,17.2738739,3.56405964,22.8340123,8.02110409,12.36649696,2.524540508,1.956480352,TRUE,3,,
Mozzarella cheese,2022,16.2332,6.7645199,8.79781881,9.41788178,19.0612855,7.93633522,10.3414346,11.0164214,18.58728802,7.723795356,1.139338063,TRUE,3,,
Muesli,2022,2.27191057,0.71121109,2.3523595,3.32169241,3.9530678,1.15796151,3.75530994,5.17621884,2.601375953,0.812067818,0.304636044,TRUE,1,,
Muffins,2022,2.58363096,1.22035625,7.73206624,10.0041688,3.07615929,1.02199465,7.0494282,6.08400102,2.958301062,1.393414769,1.001320618,TRUE,3,,
Mushrooms,2022,2.35291667,7.88097936,8.30393309,32.1143436,2.87234171,12.976246,13.7613482,39.9680137,2.694129305,8.998579748,1.07537871,TRUE,1,,
Naan,2022,1.01323422,0.36949721,1.28804372,1.63533545,2.29280569,0.8338975,2.89840994,3.62986424,1.160170286,0.421895549,0.166804667,TRUE,3,,
Nut loaf,2022,0.71613096,0.49552948,2.24664458,0.82002829,2.00403004,1.38589246,6.28935455,2.29166218,0.819982038,0.565800434,0.290945715,TRUE,3,,
Oat milk,2022,0.45328059,1.05113498,6.71816918,4.0987377,0.52687415,1.22170886,7.81335931,4.76760018,0.519013927,1.200196259,0.870018583,TRUE,1,,
Olive oil,2022,5.18462823,0.59195897,,0.52329173,21.707958,2.47831823,,2.19083332,5.936486841,0.675904574,0,TRUE,1,,
Onions,2022,0.36286035,1.01403545,3.19286453,12.7021583,0.39535726,1.08914269,3.22562929,13.3882546,0.415481226,1.157835651,0.413483406,TRUE,1,,
Orange juice,2022,0.48884841,1.19871252,9.27981728,22.9515804,0.7052967,1.70687129,12.9845645,31.9784532,0.559739681,1.368701746,1.201757989,TRUE,1,,
Oranges,2022,0.46654954,1.0765173,4.97143855,21.6099503,0.66649837,1.4867874,6.94525866,31.5846713,0.534207099,1.229178041,0.643812891,TRUE,1,,
Pancakes,2022,1.54780889,0.61483208,2.76728605,2.16884922,2.44144749,0.97596929,4.29828901,3.46663082,1.772267306,0.702021316,0.35837,TRUE,3,,
